FlightScheduleID,StaffID,WorkingHours,CheckIn,CheckOut
FS0051,S0001,1,1/17/2022 0:44,1/17/2022 1:44
FS0051,S0002,5,12/17/2022 2:00,12/17/2022 7:00
FS0051,S0003,10,12/20/2023 20:04,12/21/2023 6:04
FS0051,S0004,3,7/28/2022 13:52,7/28/2022 16:52
FS0051,S0005,10,3/28/2022 5:47,3/28/2022 15:47
FS0051,S0006,10,9/19/2022 7:19,9/19/2022 17:19
FS0051,S0007,7,7/15/2022 21:22,7/16/2022 4:22
FS0051,S0008,8,9/24/2022 4:12,9/24/2022 12:12
FS0051,S0009,2,6/16/2022 9:17,6/16/2022 11:17
FS0051,S0010,7,6/26/2022 23:16,6/27/2022 6:16
FS0051,S0011,5,1/1/2022 6:46,1/1/2022 11:46
FS0051,S0012,10,7/2/2023 16:42,7/3/2023 2:42
FS0051,S0013,6,6/1/2023 7:08,6/1/2023 13:08
FS0051,S0014,8,2/24/2024 5:37,2/24/2024 13:37
FS0051,S0015,10,5/9/2022 15:11,5/10/2022 1:11
FS0051,S0016,8,8/27/2023 6:24,8/27/2023 14:24
FS0051,S0017,8,10/29/2022 18:10,10/30/2022 2:10
FS0051,S0018,9,8/21/2024 17:59,8/22/2024 2:59
FS0051,S0019,6,3/10/2022 22:21,3/11/2022 4:21
FS0051,S0020,2,11/27/2023 17:27,11/27/2023 19:27
FS0052,S0001,9,7/23/2022 0:58,7/23/2022 9:58
FS0052,S0002,5,1/24/2024 17:44,1/24/2024 22:44
FS0052,S0003,7,9/11/2022 15:19,9/11/2022 22:19
FS0052,S0004,4,1/27/2023 8:25,1/27/2023 12:25
FS0052,S0005,1,7/21/2022 17:38,7/21/2022 18:38
FS0052,S0006,8,7/18/2024 17:52,7/19/2024 1:52
FS0052,S0007,6,12/22/2022 15:15,12/22/2022 21:15
FS0052,S0008,2,5/30/2024 23:29,5/31/2024 1:29
FS0052,S0009,5,12/29/2022 19:12,12/30/2022 0:12
FS0052,S0010,1,6/12/2023 8:34,6/12/2023 9:34
FS0052,S0011,10,12/12/2022 9:29,12/12/2022 19:29
FS0052,S0012,1,9/2/2023 11:16,9/2/2023 12:16
FS0052,S0013,5,7/22/2022 14:11,7/22/2022 19:11
FS0052,S0014,1,1/4/2022 6:40,1/4/2022 7:40
FS0052,S0015,5,5/8/2023 18:06,5/8/2023 23:06
FS0052,S0016,1,3/15/2024 5:15,3/15/2024 6:15
FS0052,S0017,5,4/2/2023 16:47,4/2/2023 21:47
FS0052,S0018,7,8/25/2022 0:05,8/25/2022 7:05
FS0052,S0019,7,3/20/2022 4:19,3/20/2022 11:19
FS0052,S0020,3,2/5/2023 15:35,2/5/2023 18:35
FS0053,S0001,10,6/23/2023 6:31,6/23/2023 16:31
FS0053,S0002,9,8/17/2022 14:55,8/17/2022 23:55
FS0053,S0003,5,9/1/2022 16:30,9/1/2022 21:30
FS0053,S0004,4,11/4/2022 21:05,11/5/2022 1:05
FS0053,S0005,4,2/16/2023 23:21,2/17/2023 3:21
FS0053,S0006,3,6/14/2024 7:29,6/14/2024 10:29
FS0053,S0007,10,5/18/2023 10:52,5/18/2023 20:52
FS0053,S0008,2,2/14/2023 16:26,2/14/2023 18:26
FS0053,S0009,3,6/1/2022 13:42,6/1/2022 16:42
FS0053,S0010,4,11/16/2023 19:48,11/16/2023 23:48
FS0053,S0011,7,7/24/2022 3:09,7/24/2022 10:09
FS0053,S0012,6,6/5/2024 10:51,6/5/2024 16:51
FS0053,S0013,6,2/1/2024 20:10,2/2/2024 2:10
FS0053,S0014,10,3/26/2023 5:31,3/26/2023 15:31
FS0053,S0015,3,2/21/2024 15:58,2/21/2024 18:58
FS0053,S0016,1,12/31/2023 9:08,12/31/2023 10:08
FS0053,S0017,10,10/15/2023 10:20,10/15/2023 20:20
FS0053,S0018,7,1/9/2022 2:00,1/9/2022 9:00
FS0053,S0019,1,3/8/2024 9:11,3/8/2024 10:11
FS0053,S0020,7,6/16/2023 17:08,6/17/2023 0:08
FS0054,S0001,7,3/16/2024 18:37,3/17/2024 1:37
FS0054,S0002,10,6/29/2022 1:23,6/29/2022 11:23
FS0054,S0003,10,8/1/2022 14:02,8/2/2022 0:02
FS0054,S0004,2,8/24/2024 12:35,8/24/2024 14:35
FS0054,S0005,8,12/29/2023 4:43,12/29/2023 12:43
FS0054,S0006,1,8/13/2023 11:30,8/13/2023 12:30
FS0054,S0007,9,11/14/2023 20:58,11/15/2023 5:58
FS0054,S0008,9,4/3/2024 2:41,4/3/2024 11:41
FS0054,S0009,6,2/15/2022 17:14,2/15/2022 23:14
FS0054,S0010,1,12/29/2022 4:24,12/29/2022 5:24
FS0054,S0011,7,3/14/2024 11:44,3/14/2024 18:44
FS0054,S0012,7,7/4/2022 20:57,7/5/2022 3:57
FS0054,S0013,9,2/16/2022 0:17,2/16/2022 9:17
FS0054,S0014,4,6/1/2024 19:54,6/1/2024 23:54
FS0054,S0015,6,1/11/2023 10:00,1/11/2023 16:00
FS0054,S0016,8,9/21/2022 23:53,9/22/2022 7:53
FS0054,S0017,5,6/8/2023 10:59,6/8/2023 15:59
FS0054,S0018,5,3/3/2023 8:44,3/3/2023 13:44
FS0054,S0019,2,10/24/2023 0:43,10/24/2023 2:43
FS0054,S0020,1,3/23/2024 21:35,3/23/2024 22:35
FS0055,S0001,4,1/11/2022 14:57,1/11/2022 18:57
FS0055,S0002,3,8/5/2024 10:35,8/5/2024 13:35
FS0055,S0003,4,3/30/2024 9:22,3/30/2024 13:22
FS0055,S0004,5,12/27/2022 5:30,12/27/2022 10:30
FS0055,S0005,4,10/30/2023 5:18,10/30/2023 9:18
FS0055,S0006,3,8/21/2023 2:57,8/21/2023 5:57
