FlightScheduleID,StaffID,WorkingHours,CheckIn,CheckOut
FS0231,S0001,3,31/8/2025 1:19,31/8/2025 4:19
FS0231,S0002,1,10/6/2025 11:30,10/6/2025 12:30
FS0231,S0003,1,16/11/2024 18:26,16/11/2024 19:26
FS0231,S0004,10,4/5/2024 7:09,4/5/2024 17:09
FS0231,S0005,7,13/3/2025 4:42,13/3/2025 11:42
FS0231,S0006,2,18/7/2024 5:10,18/7/2024 7:10
FS0231,S0007,7,19/9/2023 12:44,19/9/2023 19:44
FS0231,S0008,7,8/5/2025 1:53,8/5/2025 8:53
FS0231,S0009,9,8/9/2025 12:34,8/9/2025 21:34
FS0231,S0010,4,29/3/2024 9:52,29/3/2024 13:52
FS0231,S0011,8,12/10/2024 2:52,12/10/2024 10:52
FS0231,S0012,9,16/4/2024 21:21,17/4/2024 6:21
FS0231,S0013,5,22/12/2025 22:36,23/12/2025 3:36
FS0231,S0014,2,19/10/2025 8:16,19/10/2025 10:16
FS0231,S0015,5,27/7/2025 21:37,28/7/2025 2:37
FS0231,S0016,5,11/6/2025 17:54,11/6/2025 22:54
FS0231,S0017,10,30/11/2025 19:27,1/12/2025 5:27
FS0231,S0018,1,5/5/2025 11:01,5/5/2025 12:01
FS0231,S0019,4,28/11/2024 11:25,28/11/2024 15:25
FS0231,S0020,8,3/1/2024 2:38,3/1/2024 10:38
FS0232,S0001,4,11/3/2024 1:59,11/3/2024 5:59
FS0232,S0002,4,8/8/2024 8:46,8/8/2024 12:46
FS0232,S0003,9,20/12/2023 8:21,20/12/2023 17:21
FS0232,S0004,3,8/4/2025 23:48,9/4/2025 2:48
FS0232,S0005,4,11/8/2024 8:20,11/8/2024 12:20
FS0232,S0006,10,27/12/2025 4:57,27/12/2025 14:57
FS0232,S0007,4,17/7/2025 6:28,17/7/2025 10:28
FS0232,S0008,10,2/10/2024 1:22,2/10/2024 11:22
FS0232,S0009,7,13/9/2024 16:31,13/9/2024 23:31
FS0232,S0010,2,3/9/2025 21:30,3/9/2025 23:30
FS0232,S0011,8,7/6/2024 16:19,8/6/2024 0:19
FS0232,S0012,2,18/1/2024 10:41,18/1/2024 12:41
FS0232,S0013,1,28/6/2024 14:47,28/6/2024 15:47
FS0232,S0014,4,19/3/2025 10:54,19/3/2025 14:54
FS0232,S0015,3,6/1/2025 9:37,6/1/2025 12:37
FS0232,S0016,10,11/6/2024 0:25,11/6/2024 10:25
FS0232,S0017,6,24/1/2025 0:16,24/1/2025 6:16
FS0232,S0018,7,22/9/2025 18:24,23/9/2025 1:24
FS0232,S0019,8,26/4/2024 9:18,26/4/2024 17:18
FS0232,S0020,5,17/2/2025 13:09,17/2/2025 18:09
FS0233,S0001,7,3/4/2024 4:20,3/4/2024 11:20
FS0233,S0002,5,3/5/2024 16:54,3/5/2024 21:54
FS0233,S0003,9,4/1/2025 9:33,4/1/2025 18:33
FS0233,S0004,4,7/7/2025 10:00,7/7/2025 14:00
FS0233,S0005,7,10/10/2023 20:20,11/10/2023 3:20
FS0233,S0006,4,29/12/2024 21:29,30/12/2024 1:29
FS0233,S0007,9,27/7/2024 4:23,27/7/2024 13:23
FS0233,S0008,2,12/11/2024 16:15,12/11/2024 18:15
FS0233,S0009,6,10/2/2025 6:20,10/2/2025 12:20
FS0233,S0010,3,16/7/2025 16:49,16/7/2025 19:49
FS0233,S0011,4,8/7/2025 12:23,8/7/2025 16:23
FS0233,S0012,2,24/3/2024 8:20,24/3/2024 10:20
FS0233,S0013,1,25/8/2025 16:38,25/8/2025 17:38
FS0233,S0014,2,20/10/2023 13:35,20/10/2023 15:35
FS0233,S0015,5,4/12/2025 6:53,4/12/2025 11:53
FS0233,S0016,2,25/11/2024 22:38,26/11/2024 0:38
FS0233,S0017,5,24/12/2025 21:57,25/12/2025 2:57
FS0233,S0018,1,29/10/2024 9:55,29/10/2024 10:55
FS0233,S0019,2,16/7/2024 6:20,16/7/2024 8:20
FS0233,S0020,4,15/9/2025 18:31,15/9/2025 22:31
FS0234,S0001,2,25/6/2024 17:43,25/6/2024 19:43
FS0234,S0002,2,11/7/2024 21:21,11/7/2024 23:21
FS0234,S0003,3,28/10/2024 22:33,29/10/2024 1:33
FS0234,S0004,1,3/8/2024 5:47,3/8/2024 6:47
FS0234,S0005,8,16/1/2024 9:35,16/1/2024 17:35
FS0234,S0006,6,17/9/2023 1:31,17/9/2023 7:31
FS0234,S0007,9,8/12/2023 12:32,8/12/2023 21:32
FS0234,S0008,3,27/6/2024 6:52,27/6/2024 9:52
FS0234,S0009,8,8/10/2025 2:20,8/10/2025 10:20
FS0234,S0010,6,19/10/2025 6:25,19/10/2025 12:25
FS0234,S0011,10,27/9/2025 5:26,27/9/2025 15:26
FS0234,S0012,5,9/4/2024 10:04,9/4/2024 15:04
FS0234,S0013,8,24/1/2025 10:09,24/1/2025 18:09
FS0234,S0014,8,13/10/2024 3:04,13/10/2024 11:04
FS0234,S0015,10,6/3/2024 20:48,7/3/2024 6:48
FS0234,S0016,8,8/9/2023 12:25,8/9/2023 20:25
FS0234,S0017,2,13/1/2025 15:13,13/1/2025 17:13
FS0234,S0018,2,30/11/2023 13:20,30/11/2023 15:20
FS0234,S0019,10,31/3/2025 3:35,31/3/2025 13:35
FS0234,S0020,4,4/3/2024 3:38,4/3/2024 7:38
FS0235,S0001,8,17/12/2025 12:53,17/12/2025 20:53
FS0235,S0002,7,13/4/2024 17:50,14/4/2024 0:50
FS0235,S0003,2,9/9/2024 15:12,9/9/2024 17:12
FS0235,S0004,7,15/11/2023 0:30,15/11/2023 7:30
FS0235,S0005,5,5/10/2025 19:35,6/10/2025 0:35
FS0235,S0006,3,5/2/2024 1:29,5/2/2024 4:29
FS0235,S0007,2,7/11/2023 6:25,7/11/2023 8:25
FS0235,S0008,5,30/12/2023 5:19,30/12/2023 10:19
FS0235,S0009,3,4/10/2025 22:41,5/10/2025 1:41
FS0235,S0010,10,19/5/2024 1:33,19/5/2024 11:33
FS0235,S0011,5,19/1/2024 23:08,20/1/2024 4:08
FS0235,S0012,7,19/10/2025 17:59,20/10/2025 0:59
FS0235,S0013,7,27/11/2024 18:24,28/11/2024 1:24
FS0235,S0014,2,31/3/2024 10:45,31/3/2024 12:45
FS0235,S0015,9,18/9/2025 0:52,18/9/2025 9:52
FS0235,S0016,3,7/1/2024 10:16,7/1/2024 13:16
FS0235,S0017,2,7/4/2025 16:06,7/4/2025 18:06
FS0235,S0018,7,9/9/2023 2:53,9/9/2023 9:53
FS0235,S0019,5,11/11/2025 6:56,11/11/2025 11:56
FS0235,S0020,5,28/3/2025 8:14,28/3/2025 13:14
FS0236,S0001,8,14/11/2023 13:25,14/11/2023 21:25
FS0236,S0002,7,30/10/2024 20:39,31/10/2024 3:39
FS0236,S0003,3,7/10/2025 8:48,7/10/2025 11:48
FS0236,S0004,9,27/6/2024 17:11,28/6/2024 2:11
FS0236,S0005,8,17/2/2025 12:31,17/2/2025 20:31
FS0236,S0006,6,31/8/2024 6:45,31/8/2024 12:45
FS0236,S0007,7,25/4/2025 15:57,25/4/2025 22:57
FS0236,S0008,3,1/4/2025 7:27,1/4/2025 10:27
FS0236,S0009,7,4/10/2024 18:55,5/10/2024 1:55
FS0236,S0010,4,4/2/2024 21:31,5/2/2024 1:31
FS0236,S0011,3,9/10/2023 16:41,9/10/2023 19:41
FS0236,S0012,4,19/9/2025 6:56,19/9/2025 10:56
FS0236,S0013,9,15/5/2025 10:13,15/5/2025 19:13
FS0236,S0014,3,26/8/2025 8:49,26/8/2025 11:49
FS0236,S0015,5,31/8/2024 17:49,31/8/2024 22:49
FS0236,S0016,1,31/3/2025 16:01,31/3/2025 17:01
FS0236,S0017,6,25/12/2023 8:29,25/12/2023 14:29
FS0236,S0018,8,21/7/2024 16:18,22/7/2024 0:18
FS0236,S0019,1,1/12/2025 1:39,1/12/2025 2:39
FS0236,S0020,10,26/11/2025 18:53,27/11/2025 4:53
FS0237,S0001,9,21/2/2024 22:57,22/2/2024 7:57
FS0237,S0002,9,23/6/2024 21:30,24/6/2024 6:30
FS0237,S0003,7,25/4/2025 0:25,25/4/2025 7:25
FS0237,S0004,7,26/3/2025 9:01,26/3/2025 16:01
FS0237,S0005,1,30/12/2023 18:32,30/12/2023 19:32
FS0237,S0006,4,18/11/2024 0:58,18/11/2024 4:58
FS0237,S0007,7,26/5/2024 22:58,27/5/2024 5:58
FS0237,S0008,2,23/10/2024 4:07,23/10/2024 6:07
FS0237,S0009,5,29/10/2023 22:36,30/10/2023 3:36
FS0237,S0010,5,22/1/2025 3:52,22/1/2025 8:52
FS0237,S0011,4,4/2/2024 3:23,4/2/2024 7:23
