FlightScheduleID,StaffID,WorkingHours,CheckIn,CheckOut
FS0151,S0001,9,6/9/2022 3:41,6/9/2022 12:41
FS0151,S0002,10,1/29/2024 14:20,1/30/2024 0:20
FS0151,S0003,5,5/23/2022 16:28,5/23/2022 21:28
FS0151,S0004,10,4/1/2022 5:52,4/1/2022 15:52
FS0151,S0005,8,9/9/2022 9:39,9/9/2022 17:39
FS0151,S0006,8,9/6/2022 9:03,9/6/2022 17:03
FS0151,S0007,3,7/19/2024 14:21,7/19/2024 17:21
FS0151,S0008,5,5/10/2024 6:07,5/10/2024 11:07
FS0151,S0009,7,1/31/2022 7:05,1/31/2022 14:05
FS0151,S0010,9,7/27/2024 4:44,7/27/2024 13:44
FS0151,S0011,5,12/3/2022 7:05,12/3/2022 12:05
FS0151,S0012,6,9/18/2023 3:00,9/18/2023 9:00
FS0151,S0013,5,3/18/2022 18:41,3/18/2022 23:41
FS0151,S0014,8,3/27/2023 2:53,3/27/2023 10:53
FS0151,S0015,8,9/21/2023 0:15,9/21/2023 8:15
FS0151,S0016,9,1/19/2024 7:44,1/19/2024 16:44
FS0151,S0017,5,10/15/2022 19:37,10/16/2022 0:37
FS0151,S0018,2,7/13/2023 15:46,7/13/2023 17:46
FS0151,S0019,4,9/20/2022 10:05,9/20/2022 14:05
FS0151,S0020,1,7/21/2024 18:00,7/21/2024 19:00
FS0152,S0001,8,6/12/2023 4:31,6/12/2023 12:31
FS0152,S0002,10,8/30/2022 5:28,8/30/2022 15:28
FS0152,S0003,6,6/22/2024 10:59,6/22/2024 16:59
FS0152,S0004,3,8/5/2023 1:00,8/5/2023 4:00
FS0152,S0005,8,10/16/2023 1:47,10/16/2023 9:47
FS0152,S0006,4,12/11/2023 22:29,12/12/2023 2:29
FS0152,S0007,1,5/12/2022 8:51,5/12/2022 9:51
FS0152,S0008,3,9/28/2023 20:25,9/28/2023 23:25
FS0152,S0009,3,3/20/2024 7:26,3/20/2024 10:26
FS0152,S0010,2,6/9/2024 6:37,6/9/2024 8:37
FS0152,S0011,3,11/1/2022 0:57,11/1/2022 3:57
